Chamber,Type,Temperature,Humidity,Status,Size,Gap,Ramp_Rate
Chamber 10,Temp/Hum,-55,4,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,5,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,10,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,15,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,20,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,25,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,30,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,35,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,40,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,45,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,50,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,55,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,60,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,65,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,70,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,75,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,80,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,85,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,90,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,95,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,96,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,97,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,98,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,99,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-55,100,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,0,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,1,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,2,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,3,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,4,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,5,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,10,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,15,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,20,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,25,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,30,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,35,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,40,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,45,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,50,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,55,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,60,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,65,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,70,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,75,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,80,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,85,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,90,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,95,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,96,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,97,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,98,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,99,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-50,100,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,0,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,1,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,2,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,3,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,4,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,5,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,10,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,15,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,20,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,25,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,30,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,35,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,40,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,45,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,50,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,55,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,60,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,65,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,70,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,75,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,80,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,85,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,90,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,95,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,96,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,97,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,98,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,99,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-45,100,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,0,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,1,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,2,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,3,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,4,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,5,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,10,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,15,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,20,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,25,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,30,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,35,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,40,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,45,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,50,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,55,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,60,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,65,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,70,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,75,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,80,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,85,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,90,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,95,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,96,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,97,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,98,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,99,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-40,100,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,0,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,1,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,2,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,3,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,4,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,5,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,10,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,15,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,20,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,25,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,30,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,35,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,40,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,45,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,50,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,55,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,60,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,65,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,70,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,75,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,80,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,85,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,90,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,95,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,96,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,97,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,98,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,99,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-35,100,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,0,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,1,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,2,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,3,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,4,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,5,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,10,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,15,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,20,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,25,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,30,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,35,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,40,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,45,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,50,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,55,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,60,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,65,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,70,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,75,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,80,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,85,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,90,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,95,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,96,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,97,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,98,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,99,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-30,100,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,0,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,1,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,2,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,3,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,4,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,5,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,10,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,15,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,20,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,25,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,30,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,35,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,40,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,45,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,50,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,55,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,60,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,65,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,70,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,75,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,80,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,85,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,90,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,95,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,96,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,97,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,98,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,99,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-25,100,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,0,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,1,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,2,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,3,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,4,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,5,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,10,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,15,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,20,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,25,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,30,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,35,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,40,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,45,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,50,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,55,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,60,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,65,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,70,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,75,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,80,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,85,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,90,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,95,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,96,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,97,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,98,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,99,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-20,100,DOABLE,15x18x15,3x3x3,0.3C/Min
Chamber 10,Temp/Hum,-15,0,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,1,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,2,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,3,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,4,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,5,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,10,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,15,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,20,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,25,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,30,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,35,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,40,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,45,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,50,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,55,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,60,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,65,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,70,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,75,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,80,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,85,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,90,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,95,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,96,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,97,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,98,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,99,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-15,100,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,0,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,1,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,2,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,3,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,4,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,5,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,10,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,15,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,20,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,25,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,30,DOABLE,15x18x15,3x3x3,1.0C/Min
Chamber 10,Temp/Hum,-10,35,DOABLE,15x18x15,3x3x3,1.0C/Min
